id,name,type1,type2,hp,attack,defense,speed
1,Bulbasaur,Grass,Poison,45,49,49,45
2,Ivysaur,Grass,Poison,60,62,63,60
3,Venusaur,Grass,Poison,80,82,83,80
4,Charmander,Fire,,39,52,43,65
5,Charmeleon,Fire,,58,64,58,80
6,Charizard,Fire,Flying,78,84,78,100
7,Squirtle,Water,,44,48,65,43
8,Wartortle,Water,,59,63,80,58
9,Blastoise,Water,,79,83,100,78
10,Caterpie,Bug,,45,30,35,45
11,Metapod,Bug,,50,20,55,30
12,Butterfree,Bug,Flying,60,45,50,70
13,Weedle,Bug,Poison,40,35,30,50
14,Kakuna,Bug,Poison,45,25,50,35
15,Beedrill,Bug,Poison,65,90,40,75
16,Pidgey,Normal,Flying,40,45,40,56
17,Pidgeotto,Normal,Flying,63,60,55,71
18,Pidgeot,Normal,Flying,83,80,75,101
19,Rattata,Normal,,30,56,35,72
20,Raticate,Normal,,55,81,60,97
21,Spearow,Normal,Flying,40,60,30,70
22,Fearow,Normal,Flying,65,90,65,100
23,Ekans,Poison,,35,60,44,55
24,Arbok,Poison,,60,95,69,80
25,Pikachu,Electric,,35,55,40,90
26,Raichu,Electric,,60,90,55,110
